eps_axial,mcc_p,mcc_q,mcc_eps_v,mcc_V,mcc_eta,evp_p,evp_q,evp_eps_v,evp_V,evp_eta,norsand_p,norsand_q,norsand_eps_v,norsand_V,norsand_eta
0.0,100.0,0.0,0.0,1.82,0.0,100.0,0.0,0.0,1.82,0.0,100.0,0.0,0.0,1.82,0.0
0.003,119.74782039354768,59.24346118064318,0.0022052828463281454,1.815990807546172,0.49473519422684514,119.96060856531544,59.88182569594624,0.0021893042093973523,1.8160198248357833,0.4991790756324993,119.61603954320742,58.84811862962245,0.0017697036111713773,1.8167819385426114,0.49197514693140687
0.006,123.51956495067459,70.55869485202402,0.004534029260921908,1.811766745757481,0.5712349689719229,123.6915978073288,71.07479342198629,0.004501428991310297,1.8118258108046292,0.5746129460846455,123.32257269933868,69.96771809801619,0.0034059386667015953,1.8138116869254335,0.5673553232513077
0.009000000000000001,126.8182330820954,80.45469924628637,0.006574010609359411,1.8080745426815539,0.6344095583968928,126.96089259368601,80.88267778105765,0.0065293447631569424,1.8081553036646152,0.6370676523195781,126.59957123270691,79.79871369812092,0.004917194351827459,1.8110726239364343,0.6303237279646092
0.012,129.76843507501033,89.30530522503129,0.008386280391601775,1.804800791180275,0.6881897371530291,129.88736306926228,89.66208920778652,0.008332470712653132,1.8048979095443451,0.6903064862435795,129.52856587739996,88.58569763220014,0.006316445331447117,1.8085402509199353,0.6839085805678368
0.015,132.44313081559935,97.32939244679847,0.010011386487804832,1.801870180333843,0.7348768626008263,132.5428451571499,97.62853547144957,0.009950479085457065,1.8019799309081723,0.7365809550541633,132.1691703380385,96.50751101411572,0.0076147080203887805,1.8061938140666514,0.7301817115692426
0.018000000000000002,134.88943997499712,104.66831992499152,0.01147833418392543,1.799228868830667,0.7759563680032526,134.97196008431433,104.91588025294314,0.011411847762810878,1.7993484970957052,0.7773161194918133,134.53232755699966,103.59698267099913,0.008820668734361603,1.8040169281688507,0.7700527044483518
0.021,137.1400711954063,111.42021358621928,0.012808995022040725,1.7968362976395365,0.8124555617844207,137.20764246674534,111.622927400236,0.012738118620291578,1.7969636554441235,0.8135328717370081,136.64659082427576,109.9397724728275,0.00993998590509431,1.8019987907239239,0.8045555458767897
0.024,139.21905175844435,117.657155275333,0.014020520257729575,1.794660703280389,0.8451225158427104,139.2723695992029,117.81710879760811,0.013946199416173541,1.7947940889307699,0.8459474706767853,138.57712415409833,115.73137246229521,0.010980696271750811,1.8001244074162939,0.83514052675535
0.027,141.14486504513454,123.43459513540363,0.01512676987161104,1.792676458307812,0.874524164204857,141.18558944288634,123.55676832865858,0.015049802713131116,1.7928144408308753,0.8751372488949438,140.35315500999968,121.05946502999954,0.011949951789188555,1.7983804721985472,0.8625346898783606
0.03,142.93228535209573,128.79685605628717,0.0161392113188442,1.7908623968304127,0.9011040139672594,142.96188615762335,128.8856584728694,0.016060277100328434,1.791003762733406,0.9015385984119283,141.98811898351138,125.96435695053478,0.012853810502617372,1.7967557247206014,0.8871471631028692
0.033,144.59350663864478,133.7805199159343,0.01706751261710878,1.7892007083355443,0.9252180338240683,144.61256577017858,133.8376973105351,0.01698718393126262,1.7893444382499004,0.9254914785429703,143.49917987356918,130.49753962070815,0.013697774195952537,1.7952399678351778,0.9093957173531152
0.036000000000000004,146.13886524583117,138.41659573749348,0.017919949453494132,1.7876761776194592,0.9471580027985883,146.14793777272547,138.44381331817607,0.017838725362537777,1.7878213858890357,0.9472854384949989,144.89301634618096,134.67904903854358,0.014486774843467427,1.793824080979524,0.9295068350069131
0.039,147.57731785483804,142.73195356451419,0.018703694019299735,1.7862756450314228,0.9671672831519413,147.57656520394875,142.72969561184564,0.01862200599337186,1.78642156832264,0.9671569155617303,146.18853745224746,138.5656123567429,0.015225264865438652,1.7924998488209591,0.947855521175902
0.042,148.9167661740011,146.75029852200333,0.019425025808669755,1.7849876122294361,0.9854518217950934,148.90785376659414,146.723561299782,0.019343292030146755,1.785133511973988,0.9853312474019275,147.38915751690018,142.167472550701,0.015917153650755644,1.7912600672229213,0.9645721228469575
0.045,150.16428262470933,150.49284787412816,0.0200894892935112,1.7838019470994313,1.0021880386179447,150.14729934172928,150.4418980251876,0.020008052013638054,1.7839472209931104,1.0019620644843423,148.50988425259874,145.52965275779675,0.01656602743009037,1.7900981425454041,0.9799324367546275
0.048,151.3262704381818,153.9788113145459,0.020702014446165398,1.7827096581008732,1.0175286212280483,151.3015432980023,153.90462989400672,0.020621186735382994,1.782853756265011,1.0172046268614552,149.55176854922908,148.65530564768795,0.017174963938529388,1.7890084182529051,0.9940056683365397
0.051000000000000004,152.40857938454144,157.22573815362483,0.02126701066013595,1.781702718378789,1.0316068740259643,152.3761199697487,157.1283599092461,0.02118706760448957,1.7818451588318365,1.0311875636447552,150.52424779203173,151.5727433760959,0.017746956536504016,1.787985411284099,1.0069656258007866
