state,q_peak_kpa,q_end_kpa,p_end_kpa,psi_end
dense,611.3487147290449,611.3487147290449,418.7895990042704,-0.021491027286789643
loose,261.440647435648,174.96300049063905,125.51226268488044,0.031211061972030496
