eps_axial,mcc_p,mcc_q,mcc_eps_v,mcc_eta,mcc_V,mcc_radial_stress_error,mcc_newton_iterations,mcc_residual_norm,evp_p,evp_q,evp_eps_v,evp_eta,evp_V,evp_radial_stress_error,evp_newton_iterations,evp_residual_norm,norsand_p,norsand_q,norsand_eps_v,norsand_eta,norsand_V,norsand_radial_stress_error,norsand_newton_iterations,norsand_residual_norm
0.0,100.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0
0.0025,119.15126228582318,57.4527323919955,0.0018690108090552433,0.4821831618885948,1.8166010920542353,0.00035148849134714055,5.0,3.5148849134714046e-06,119.36951238135465,58.1079063409795,0.0018264513333636136,0.4867901793494791,1.816678838077296,0.00021026769482546115,5.0,2.1026769482546118e-06,118.87700471285162,56.80520758559147,0.0014819219555187808,0.4778485773830264,1.8173045897977342,0.058064482345528745,7.0,0.0005806448234552873
0.005,122.38733510761314,67.16094997128455,0.0038734151408274273,0.5487573523210637,1.8129629286200448,0.00035178385162737413,6.0,2.4172098858670966e-09,122.55717678302811,67.67724198706418,0.0037976311837984457,0.5522095381397217,1.8131013444684039,0.0019038793266190623,3.0,1.7262271762700734e-05,122.00897761990355,66.44576009678914,0.002874104933310661,0.5445973025344795,1.8147760364331846,0.13960907902617237,5.0,0.0006691897451209266
0.0075,125.26429837145317,75.79185050117964,0.00566244717016642,0.6050554825799596,1.809721896675781,0.0003482043932905299,6.0,2.831490755268667e-08,125.3596501056536,76.22546621530297,0.005558993780052272,0.6080542355619201,1.809910610480335,0.048838632780714875,3.0,0.00037061097352997,124.81354252953547,75.092288416208,0.004175272180409074,0.6016357431601496,1.8124159891242901,0.21722027586720571,5.0,0.0006161305196900992
0.01,127.86936054343376,83.60706706986946,0.007276933711591521,0.6538475418548011,1.8068020898086021,0.0003381868106089314,6.0,7.690449389406485e-08,128.03998619265857,83.87567820954571,0.0071589937800522726,0.6550740960198174,1.807017056016397,0.0814267894766516,3.0,0.0009989073252826312,127.31297288551086,82.93806476442694,0.005389859844840618,0.6514502244717113,1.8102157647696462,0.3330487026314586,5.0,0.0008927991442145352
0.0125,130.25617713127497,90.76825964286492,0.008745197781176783,0.6968441853731568,1.8041508496493495,9.05836533178217e-05,6.0,1.8504693386186217e-06,130.3927021507177,90.98840081685164,0.008612477250478943,0.697802862553461,1.8043924838771066,0.06323521176715019,5.0,0.00013575199396186419,129.57067625773314,90.07536817521732,0.00652733252969214,0.695183283569853,1.8081576694273087,0.45444646733928096,5.0,0.0009115241557072964
0.015,132.461057682699,97.38300695684899,0.010088100340773083,0.7351821634258956,1.8017294061104254,5.536374933967636e-05,7.0,2.5688440333996424e-07,132.53633778179537,97.56907985392316,0.009941262706825918,0.7361685216816428,1.8019964169188993,0.013311163820958427,5.0,0.00036370240908890417,131.61849052896392,96.61842874225401,0.00758835974205266,0.7340794469983091,1.8062400128964655,0.5876523851207338,5.0,0.0009769344272009372
0.0175,134.509318126283,103.52779290310785,0.011321654899729887,0.769670044761595,1.7995080166135404,5.382524706476488e-05,8.0,1.097437209458956e-08,134.52506791627033,103.6802562155846,0.011161783291069902,0.7707132791050971,1.7997983775557622,0.03501748892453804,5.0,0.00034449027519144345,133.60268743235437,102.53631791029225,0.008592199443709505,0.7674719714168053,1.8044275956822617,0.576085204409722,9.0,8.305201641250925e-05
0.02,136.4198145258497,109.25928225974285,0.012458585008291601,0.8009047852725214,1.7974630707165993,5.377260207239942e-05,9.0,3.6791715657736493e-10,136.3435806445353,109.38956866533745,0.01228479257331311,0.8023081699059208,1.7977783156472906,0.1196089105771847,5.0,0.0005910169478983652,135.41816506850947,107.8649519641232,0.009541357165242561,0.7965323700077696,1.8027155864913174,0.5368189195315978,7.0,0.00027637202841936754
0.0225,138.20676409724524,114.62128952877407,0.013509253255225248,0.8293464525956492,1.7955753599110917,0.0003324123461254658,7.0,2.6483867174339057e-06,137.98668379254627,114.73392554240331,0.01331891819796947,0.831485491128246,1.7959201428150473,0.25795805492148816,5.0,0.0009490963238355449,137.11672367116947,112.82309382822704,0.010433777826793268,0.8228251872382619,1.801107403948528,0.4909742715728811,7.0,0.00031693516293009434
0.025,139.88182461300403,119.64851086310351,0.014482305140204387,0.8553542334332723,1.7938288801462543,0.0010123413638183365,7.0,4.58192811694129e-06,139.63573917944674,119.68256019043535,0.014280379892378632,0.8571055010252824,1.7941942597879954,0.2584475506983779,7.0,3.3027607571680816e-06,138.59780891978377,117.459112285215,0.011274658150868259,0.8474817401564897,1.7995934187079057,0.5552285086212265,8.0,0.000436894710026393
0.0275,141.45441397512397,124.36943936038011,0.015385066237664327,0.8792192188661684,1.792210090233218,0.0020658116694107775,7.0,6.9847154838000605e-06,141.18547438761138,124.33609689162923,0.015173116006438257,0.8806578540103652,1.7925932287671384,0.25989124293168686,7.0,9.58608554706876e-06,140.06915603730693,121.74563864376924,0.01206227184730591,0.8691823531180749,1.7981764993483187,0.512723510616155,7.0,0.00028479245500282537
0.03,142.93243318102512,128.80797864469588,0.016223836559340024,0.9011808991004827,1.7907073628696144,0.0035597005401797333,7.0,9.756141052539145e-06,142.64110312098475,128.70940716918568,0.016003178733979148,0.9023304247725669,1.791105878074906,0.26203260207715573,7.0,1.400785186956423e-05,141.4544373124913,125.75494692034765,0.012809424498016309,0.8890138005535915,1.7968334051946162,0.4638783276245846,8.0,0.0003226854447428512
0.0325,144.32447867411784,132.98411538475858,0.017004185286548942,0.9214245331523726,1.7893104409297258,0.0035597874683475084,10.0,5.59759883682193e-10,144.0103585225345,132.82363383523267,0.016775909381275447,0.9223199997411898,1.789722367482342,0.26418608920974407,7.0,1.3892643573169632e-05,142.69939259961853,129.5245530298934,0.013517883438265352,0.9076741720499774,1.795560798218733,0.4754584103459365,7.0,7.550215086618536e-05
0.035,145.635233047988,136.91637884944893,0.017730911110338383,0.9401322467368446,1.7880104965074775,0.0035599018283107853,10.0,7.267800996067504e-10,145.29943826101962,136.6968303532164,0.017496008931355923,0.9407939355391776,1.7884340507190275,0.26617185671919685,7.0,1.2645519416412674e-05,143.86255774774784,133.0646326799654,0.014190111443383113,0.9249427701214947,1.7943541099968,0.4923198122406234,8.0,0.00010863355533419092
0.0375,146.86999034067156,140.6206511562405,0.01840829863752312,0.9574498563666041,1.786799662295347,0.0035600447419454895,10.0,8.97154098689803e-10,146.51414236366412,140.35198281615789,0.018167634990931044,0.9579415376011206,1.7872332930052661,0.26985190838850315,7.0,2.3152592328970572e-05,144.92902010348203,136.38561845166706,0.014820362250139201,0.9410511321630766,1.793223513807405,0.5328527137403114,7.0,0.00025826489932358546
0.04,148.03350463670935,144.11119455901124,0.019040176214745415,0.9735039031378477,1.7856709208679344,0.0035602162944030624,10.0,1.064638905982133e-09,147.65692037851292,143.79019259420917,0.018794486713742,0.9738127561214771,1.7861133119999453,0.27314381955680744,7.0,2.047713836936461e-05,145.83456045915014,139.5208447009575,0.015407014408088893,0.9567063133847399,1.7921717724786381,0.6723877745023401,7.0,0.0008800718252971451
0.0425,149.13009173854064,147.4009564628357,0.019629985811395856,0.9884051886809235,1.7846179738179735,0.003560415737908329,10.0,1.2245010165018475e-09,148.7338171981526,147.0355398852381,0.019379929853677414,0.9885817674493492,1.7850679486862666,0.27802943026009075,7.0,3.0070479457145117e-05,146.6584070156699,142.45670134947892,0.015972251328482633,0.9713503933958451,1.7911590093726533,0.8271601008230647,11.0,0.0009674496508773577
0.045,150.16370500346116,150.5017969354994,0.020180838523777608,1.0022514890134768,1.7836351377731527,0.003560641705320222,10.0,1.3734650125125743e-09,149.74737526507772,150.0903761589784,0.01992698348546517,1.0022905302566638,1.7840916864828567,0.28275012124839805,7.0,2.8768623514856597e-05,147.63119082573255,145.16972056025892,0.016497649778229047,0.9833268955448635,1.7902181431976016,0.7587160276871003,8.0,0.0004243216248141238
0.0475,151.1379926612736,153.42466066103972,0.020695559280402488,1.0151296703065982,1.7827172606195412,0.0035608924062984215,10.0,1.5095171613644674e-09,150.70218447226387,152.97104466420242,0.020438418680010395,1.0150552574926752,1.7831794713158653,0.28816374913695597,7.0,3.268685195258978e-05,148.43725243151755,147.7427332441087,0.016995604850407662,0.9953211260917857,1.7893268799312394,0.8103253165186999,8.0,0.000317164215270215
0.05,152.05634168910026,156.17970854661198,0.021176723313017034,1.0271173619706206,1.7818596531469424,0.0035611597703848474,10.0,1.5957099040498854e-09,151.60132687699303,155.68661180342943,0.020916747242863323,1.0269475538941102,1.782326728578975,0.29421039081678657,7.0,3.619304622421907e-05,149.1105413472284,150.1840163309036,0.017470990107578528,1.007199189098076,1.7884764287828065,0.9507974297394668,9.0,0.0008567241831421587
0.0525,152.9219117903498,158.77641970971058,0.021626686260243538,1.038284297199914,1.7810580326304886,0.0035614462203596986,10.0,1.6955462702309903e-09,152.4477504677793,158.24843197095868,0.021364257950131724,1.0380502925453492,1.7815292958348408,0.3017268558735964,7.0,4.462617565168855e-05,149.71341953933813,152.4671248374501,0.01791618593989633,1.0183931761533802,1.7876803542137476,1.1089554064785716,7.0,0.0009581597003970237
0.055,153.73766208466168,161.22367150272876,0.02204760928717947,1.048693399629979,1.7803084757637329,0.00356174958123745,10.0,1.7817859120534327e-09,153.24444456231677,160.66121925627812,0.02178307758160796,1.0483983267070103,1.7807833118384941,0.3092951897759235,7.0,4.459270798605439e-05,150.28794879882057,154.62345532827064,0.01833761435895473,1.0288479985527894,1.7869271071856718,1.2532029772696518,7.0,0.0008685841187090341
0.0575,154.50637231120163,163.529803136836,0.02244148025515233,1.058401674252371,1.77960737900893,0.0035620677436867254,10.0,1.855198063428378e-09,153.99299273410145,162.93063032021416,0.022175108677263786,1.0580392485880528,1.7800853255507934,0.3172173726365912,7.0,4.634530595766226e-05,150.93052828500595,156.6210068833165,0.018742170259517063,1.0377026348676464,1.7862043171272455,1.2764740094328886,7.0,0.0001393214030617181
0.06,155.23065992121053,165.70266695976122,0.022810131728599803,1.067460945175817,1.778951424891412,0.0035623987098745147,10.0,1.916757002250527e-09,154.6977550674789,165.06939255615922,0.022542194162981248,1.0670445248811544,1.7794320013907707,0.32537578457416316,7.0,4.7409364734718894e-05,151.48486046180642,158.52529817586787,0.019129805942180424,1.046476180475055,1.7855120324201006,1.3569055968161905,7.0,0.00047869867776826746
