eps_axial,dense_p,dense_q,dense_u,dense_eta,dense_psi,loose_p,loose_q,loose_u,loose_eta,loose_psi
0.0,395.0,0.0,0.0,0.0,-0.02499999999999991,395.0,0.0,0.0,0.0,0.10000000000000009
0.001,385.83904115200215,97.52816584733017,41.67034746377459,0.25276904471911316,-0.02640792845414519,379.86330256557756,84.9791012217457,43.46306450833765,0.2237096888480702,0.09765554158062018
0.002,369.46483289703815,169.13466433893942,81.913388549275,0.45778285043457323,-0.02900981223286858,353.6803860662249,134.22987604362123,86.06290594831552,0.37952309862749173,0.09337047257113351
0.003,353.05516373844205,227.52562337568068,117.78671072011821,0.6444477995065981,-0.03173568693779094,329.02178676824315,172.9421445683835,123.62559475455134,0.5256252063642239,0.08903429229110782
0.004,337.67505491565447,273.01852082056644,148.33111869120103,0.8085243989632632,-0.03440810246953485,306.53097567152963,202.07681734007247,155.82796344182788,0.6592378368854068,0.08478598287511141
0.005,324.2219352943381,307.215190356243,173.18312815774289,0.947545976731476,-0.036847449887674744,286.6723749906156,223.16043613711884,182.71443705509068,0.7784511365785564,0.08076725489428171
0.006,313.17630769944424,332.4490176567884,192.6400315194852,1.0615394890466625,-0.03892716697364196,269.63315357683496,237.82854414268255,204.64302780405922,0.8820448857559005,0.07709059478705749
0.007,304.5847417289755,350.94167418177835,207.3958163316173,1.1521971592853197,-0.040596185110501004,255.33577931478908,247.6459261911939,222.2128627489422,0.9698833702654934,0.07382162174123885
0.008,298.231303992153,364.74650357588274,218.35086386647458,1.2230322527962385,-0.041860983494837356,243.53085327519153,253.98969823014846,236.1323794681913,1.0429466936706306,0.07098147262542764
0.009000000000000001,293.7565271505905,375.2681354682369,226.3328513388218,1.2774801605543917,-0.042768068776149804,233.87230049203959,257.86514227474646,247.08274693287592,1.1025894974831512,0.06855336862611017
0.01,290.7918251579989,383.53428230993745,232.05293561198022,1.3189307577733584,-0.04337668787188642,226.0001799074005,260.07367792967904,255.69104606915917,1.150767570345473,0.06649900182527757
0.011,289.00736082468734,390.2666767384417,236.08153142145989,1.3503693318564938,-0.04374601642788556,219.578592047779,261.1487162143966,262.47098002368654,1.1893177462289775,0.064769467231657
0.012,288.12972441677374,395.91106408549047,238.84063027838974,1.3740722686174969,-0.04392849725059178,214.3113777029626,261.440647435648,267.83550477558674,1.2199102550589123,0.06331265371460337
0.013000000000000001,287.94289935092877,400.81541756361275,240.66223983694215,1.3919961855878975,-0.04396741423390682,209.95558719620195,261.2193348921928,272.117524434529,1.2441647225519428,0.06208061523444308
0.014,288.2766199828018,405.18348937454584,241.78454314204683,1.4055371170881585,-0.04389791558112144,206.31212398798823,260.6282786444831,275.5639688935061,1.2632717535284412,0.06103026533046241
0.015,289.0033026748061,409.17188093043916,242.38732430200696,1.4158034774808432,-0.0437468589348089,203.22516689727001,259.8016912947103,278.3753968676334,1.2783932977456458,0.06012572775849834
0.016,290.02495781642466,412.881263193558,242.60212991476135,1.4236059761963553,-0.04353512705126361,200.57130408888412,258.80561428315804,280.6972340055019,1.290342182590921,0.05933704299937981
