eps_axial,mcc_p,mcc_q,mcc_eps_v,mcc_eta,mcc_V,mcc_radial_stress_error,mcc_newton_iterations,mcc_residual_norm,evp_p,evp_q,evp_eps_v,evp_eta,evp_V,evp_radial_stress_error,evp_newton_iterations,evp_residual_norm,norsand_p,norsand_q,norsand_eps_v,norsand_eta,norsand_V,norsand_radial_stress_error,norsand_newton_iterations,norsand_residual_norm
0.0,100.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0
0.0025,129.27385133758253,87.82155401274755,0.0015,0.6793450733003423,1.747376640078228,0.0,1.0,0.0,129.9916335549893,89.97490066496786,0.0015,0.6921591659736048,1.7473769023291106,0.0,1.0,0.0,129.9769747658104,89.93092429743129,0.0015,0.6918988879335498,1.7473766400782274,0.0,1.0,0.0
0.005,167.05432914119964,201.16298742359896,0.003,1.20417703903722,1.7447572127377582,0.0,1.0,0.0,168.9117846869295,206.73535406078855,0.003,1.2239249880874998,1.7447577340462432,0.0,1.0,0.0,168.9401396927212,206.82041907816364,0.003,1.2242230854925387,1.7447572127377575,0.0,1.0,0.0
0.0075,204.81107598829996,314.43322820423106,0.003996431174363351,1.5352354685260936,1.7430194154855128,7.977706673045759e-08,10.0,4.153044246235571e-10,204.94962484004222,314.8657893769661,0.0038787715335615314,1.536308200723522,1.7432251419763607,0.005638285613173366,7.0,2.8912818057222247e-05,204.79960432790244,314.38903234573246,0.0037797292769440284,1.5351056628135256,1.7433972204899963,0.003260212658290129,7.0,1.671436814008142e-05
0.01,202.06729411631582,306.2020504031295,0.0030723220190247424,1.515346913226198,1.7446307937541454,5.601806067545567e-05,9.0,2.2125674957650417e-07,202.2106081854068,306.7681709644834,0.002953894116937898,1.51707258940247,1.7448381541222096,0.04544880275435048,7.0,0.0001573211825442458,202.6844215286817,307.9016435521777,0.0027568591353325372,1.519118446449555,1.745181287678907,0.05054034462244772,7.0,0.0001870264451121449
0.0125,199.54906369293323,298.64751697896975,0.002206853785309321,1.496611968265256,1.7461412764539723,0.00010863339004174577,9.0,2.1187855974147343e-07,199.63252297947085,299.158215902686,0.0020847950719498926,1.4985444828218186,1.7463552475644792,0.08688232142448271,7.0,0.00016666771902560548,200.36349427972513,301.6306302217405,0.0017727632849972776,1.505417098589015,1.7468994529479063,0.18004912752172686,10.0,0.0009249632808705746
0.015,197.2338488879387,291.70202315826225,0.001396038970851051,1.4789653236650926,1.747557565742342,0.0001588314820537562,9.0,2.0555059655681392e-07,197.26203878955388,292.1509708520058,0.0012698824806878055,1.481029865881508,1.7477789519004483,0.12161816111473911,7.0,0.00014211546023731964,198.62580887902584,295.8156023693764,0.0008363503657280273,1.4893110016208646,1.7485359287973754,0.020608089233704163,10.0,0.0008167091861472862
0.0175,195.10192101768038,285.30638058907857,0.0006362094712818317,1.462345317262272,1.7488858440125394,0.00020584534584600078,9.0,1.955348176730761e-07,195.0751190759207,285.6844639876227,0.0005054411673756365,1.464484375767255,1.7491155348638139,0.15303558662022,7.0,0.00013058952405713294,197.0005116714727,290.3244504895041,-3.571082491304889e-05,1.4737243473441468,1.7500613291305278,0.22569484163800269,10.0,0.0008450582748052433
0.02,193.13593156197604,279.40854468920907,-7.60168911564732e-05,1.44669374791893,1.7501318268875965,0.0002500010936472563,9.0,1.8633673694566197e-07,193.05340865876482,279.7193405107927,-0.00021184280460138233,1.4489220493651882,1.7503705954496225,0.18637151149940223,7.0,0.00014063024152274913,195.43495135357088,285.09114113271926,-0.0008669359473155933,1.4587520766280286,1.7515165423951833,0.40457097599775693,8.0,0.000745706157085892
0.0225,191.32056389008412,273.96256644006354,-0.0007437651570835098,1.431955670993413,1.7513008088743214,0.00029158993706346337,9.0,1.7790208000512248e-07,191.18239762541805,274.2129576644957,-0.0008850031006382049,1.434300234071542,1.7515492703282598,0.2219215960805485,7.0,0.00015206106014373889,193.75911550496048,280.0844342440867,-0.0016609697632281074,1.4455290710537756,1.7529077791255214,0.3976374235982263,9.0,2.92327695174434e-05
0.025,189.64224349436768,268.92772309583586,-0.0013699282340611622,1.4180792113642282,1.7523977031001252,0.0003308709109148822,9.0,1.7017263491445962e-07,189.45056674171073,269.10700598816004,-0.0015168624394518299,1.4204602847931813,1.7526563512277697,0.2517685876759401,7.0,0.0001293299569328757,191.9625545727723,275.25369912226284,-0.002429410481576029,1.4338926658632019,1.7542552285314137,0.21132153201801884,9.0,0.000794631894072769
0.0275,188.0888964690506,264.2677936289489,-0.0019571886949109607,1.4050153868196746,1.7534270760295845,0.00036807393233573293,9.0,1.6308996879538252e-07,187.84126483366663,264.37556350296865,-0.0021101933559866427,1.407441350744061,1.7536965635883146,0.28392300065624454,7.0,0.0001410274011827146,190.59297174840594,270.77273064622943,-0.003126780256615256,1.4206858110364402,1.7554789587965591,0.3353948663294517,7.0,0.0005354847676842211
0.03,186.64974718101612,259.95045175172606,-0.0025080378702539985,1.3927179419087112,1.7543931779401285,0.00040340289254459094,9.0,1.565976778702192e-07,186.34981929000128,259.99041625337617,-0.002667227611742942,1.3951739649866466,1.7546737035287296,0.31365279445743965,7.0,0.00013188329411032495,189.38707407355128,266.537048083648,-0.003789670110400725,1.40736662936212,1.7566429786381017,0.5413913790019222,8.0,0.0008980292165725342
0.0325,185.31514795425457,255.9467549785968,-0.00302479264781718,1.3811431920383421,1.7552999698006564,0.00043703861102528663,9.0,1.5064266169885334e-07,184.96432527800766,255.92184223460592,-0.0031902892105610606,1.3836281231526495,1.755591744933652,0.3429554668609569,7.0,0.00013137785509360585,188.1346097280278,262.49327440169674,-0.004422136349026884,1.3952418153212942,1.7577542972097553,0.6368515941289132,9.0,0.0004200181082606126
0.035,184.07643476418295,252.23071248282437,-0.00350961033153481,1.3702498791111022,1.756151147106689,0.00046939675850410367,9.0,1.4632979477506636e-07,183.67482364944522,252.14152688555419,-0.003681552011297745,1.3727604136252332,1.7564544127512978,0.372351979072846,7.0,0.00013311750349371588,186.85226028322072,258.6663279064873,-0.0050066357498942185,1.3843360926670871,1.7587819609441888,0.6301509810582644,9.0,2.9756604945749403e-05
0.0375,182.9258057246568,248.77891826243794,-0.003964501792634717,1.3599990295349822,1.75695016102496,0.0005003628225210832,9.0,1.4130774024059467e-07,182.47337190773248,248.62470149656687,-0.004143018438286385,1.3625259340430436,1.7572651436738775,0.40152859112313877,7.0,0.00013336105473369224,185.52587272860413,255.00841461587208,-0.005554877761788965,1.3745167230066626,1.7597464256927466,0.5230678566467617,8.0,0.0004799363895241916
0.04,181.8562159219438,245.5702379551408,-0.0043913432441073305,1.3503538315156864,1.7577002373837065,0.0005300631031559533,9.0,1.3668433363160182e-07,181.35621292004313,245.35066702606008,-0.004576413512806632,1.3528660699053692,1.7580268980197902,0.4273427553102209,7.0,0.00011903004292698252,184.56141512916528,251.57403669297466,-0.00609523185030815,1.3630911776272987,1.7606975321034881,0.7034028981737066,9.0,0.0008157468137345461
0.0425,180.86128830916604,242.58554075840405,-0.004791886752476861,1.3412795133015196,1.758404393670756,0.0005586103019652455,9.0,1.3242329018483978e-07,180.31443774829611,242.3012511974604,-0.004983530604430408,1.343770660981084,1.7587427658456045,0.45264598419068136,7.0,0.00011763578314882508,183.5579326828816,248.33029471144908,-0.006586403781202788,1.352871494475096,1.7615625193747908,0.7811677790652283,12.0,0.0003544769457584807
0.045,179.93523686176945,239.80746890088773,-0.005167769690592176,1.3327432307498144,1.7590654543650648,0.0005861051931077554,9.0,1.284919078996609e-07,179.34342588575547,239.45842946316074,-0.005365941792570335,1.3351949104379184,1.7594154567650218,0.4760506019647721,7.0,0.00010965033953095477,182.4276189906154,245.2336748747455,-0.007053365051188407,1.3442793159919553,1.7623852654844532,0.683060699033561,7.0,0.00045063262546647155
0.0475,179.0728002555053,237.2202386807579,-0.005520523265410401,1.32471396182048,1.7596860648100776,0.0006126380806392717,9.0,1.2486077018243926e-07,178.43415404018265,236.80222594156132,-0.0057253124817539525,1.3271126663801955,1.7600478521990752,0.49992127367112005,7.0,0.00011264468455350415,181.31251015938176,242.2636067304614,-0.007498169611555472,1.3361659739722367,1.7631693319420023,0.5579745825613003,7.0,0.0005791757498445786
0.05,178.2691844171095,234.80946812152658,-0.005851580239321384,1.3171624074530213,1.7602687038142466,0.00063829006600713,9.0,1.2150343973461254e-07,177.5841665844508,234.33593752945927,-0.006062967474517608,1.3195767507685994,1.7606422410132752,0.527812592035616,7.0,0.0001325157665882136,180.5765361948256,239.4834388282882,-0.007907066867049867,1.3262157081687924,1.7638904133964899,0.7487232520628453,9.0,0.0008901754914277685
0.0525,177.52001258506584,232.56202715764306,-0.006162281945459869,1.3100608983237967,1.7608156951356737,0.000663134148538802,9.0,1.1839615839942114e-07,176.79083847551544,232.02568089631777,-0.006380198820226869,1.3124304567877936,1.7612008601000633,0.5510551565904933,7.0,0.00011113455901456464,179.49193034635027,236.83960792898714,-0.008285144627981189,1.319500032519445,1.764557409202281,0.5453943700212278,7.0,0.0009547656934697062
0.055,176.821281750481,230.4659069599838,-0.0064538846823690155,1.3033833070229788,1.7613292179842905,0.000687236180269224,9.0,1.1551756365787586e-07,176.04509195971718,229.8692463107794,-0.006678425657648535,1.3057407267189154,1.7617261754167939,0.5779901438759367,7.0,0.0001295632224861373,178.5611782355825,234.330306713518,-0.008646577528255324,1.3123250475215682,1.765195277103207,0.45107599774317464,7.0,0.00044619812342585675
0.0575,176.1693377889434,228.51010771863994,-0.006727565013621491,1.2971048798083267,1.7618113156911628,0.0006981172698772298,9.0,5.2431226286996356e-08,175.34803496285008,227.85053412599532,-0.006958675952855202,1.2994188054304037,1.7622199685556423,0.6021430791483624,7.0,0.00011683764643634971,177.93322324709925,231.96853166732407,-0.008982543662637878,1.3036830752241528,1.7657884083337092,0.6103793579912065,10.0,0.0007587038204389694
0.06,175.56106230256657,226.68457358841005,-0.006984415812242184,1.291200740160343,1.7622638881508634,0.00046222690346553463,9.0,1.142364615352158e-06,174.6961527499043,225.96779277489853,-0.007222012025882893,1.2934903786827803,1.7626840854542913,0.6264448417285422,7.0,0.00011818185634941941,177.3873949182503,229.77439431136003,-0.009286973475553462,1.2953253776417004,1.7663260371088225,0.795930147796966,7.0,0.0008884450028858467
0.0625,174.9933577593464,224.9800519581006,-0.007225467590392373,1.2856490945644732,1.7626887288820623,7.106646194188215e-06,9.0,2.283577018005177e-06,174.08411326704746,224.20491990836396,-0.007469544497759634,1.2879114337356592,1.7631204607490223,0.6508600357405214,7.0,0.00011932483127683545,176.88912873435018,227.736606853313,-0.009561740488532797,1.2874539463379058,1.7668114223926512,0.9769264499125114,7.0,0.0008708310318278436
