eps_axial,mcc_p,mcc_q,mcc_eps_v,mcc_u,mcc_eta,evp_p,evp_q,evp_eps_v,evp_u,evp_eta,ns_unified_p,ns_unified_q,ns_unified_eps_v,ns_unified_u,ns_unified_eta,ns_d0_p,ns_d0_q,ns_d0_eps_v,ns_d0_u,ns_d0_eta
0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
0.0015,100.0,59.06249999999999,-0.0,19.6875,0.590625,100.0,59.062499999999986,-0.0,19.6875,0.5906249999999998,100.0,60.300000000000026,0.0,20.10000000000001,0.6030000000000002,100.0,60.300000000000026,0.0,20.10000000000001,0.6030000000000002
0.003,100.0,118.12499999999999,-0.0,39.37499999999999,1.18125,100.0,118.12499999999997,-0.0,39.37499999999999,1.1812499999999997,100.0,120.59999999999997,0.0,40.19999999999999,1.2059999999999997,100.0,120.59999999999997,0.0,40.19999999999999,1.2059999999999997
0.0045000000000000005,100.0,177.18749999999997,-0.0,59.06249999999999,1.7718749999999996,100.0,177.18749999999994,-0.0,59.06249999999998,1.7718749999999994,100.0,180.9000000000001,0.0,60.30000000000003,1.8090000000000008,100.0,180.9000000000001,0.0,60.30000000000003,1.8090000000000008
0.006,100.0,236.24999999999997,-0.0,78.74999999999999,2.3625,100.0,236.24999999999991,-0.0,78.74999999999997,2.362499999999999,100.76693128301662,239.76248925859983,0.0,79.15389846984999,2.3793767082694686,100.0,238.8113594442683,0.0,79.60378648142277,2.3881135944426832
0.0075,114.69746594595941,261.5718712793684,-0.0,72.49315781383005,2.2805374915833796,114.47045543821027,262.2752512716095,-0.0,72.95462831899289,2.291204750322518,122.56296859388623,260.3048952818729,0.0,64.20532983340475,2.1238462014117503,100.0,235.47307403612785,0.0,78.49102467870928,2.3547307403612785
0.009000000000000001,135.51376100982637,270.90479858458576,-0.0,54.787838518368886,1.9990943839640163,135.39256009488605,271.70427350704983,-0.0,55.17553107413056,2.006788802254966,145.91639813715875,276.1034544248074,0.0,46.11808667111039,1.8922030556516012,100.0,232.07239083060088,0.0,77.3574636102003,2.3207239083060087
0.0105,155.3774303640764,276.7918066138613,-0.0,36.88650517387738,1.7814157819786944,155.3973172099064,277.63228495409896,-0.0,37.146777774793264,1.7865963836369259,168.38000348182334,285.8525597385382,0.0,26.904183097689398,1.697663343791272,100.0,228.65823890846954,0.0,76.21941296948985,2.2865823890846952
0.012,172.99716496437108,279.77972915941046,-0.0,20.262744755432408,1.6172503706464285,173.16247636277896,280.58662297366874,-0.0,20.36639796177728,1.620366195190198,187.68908709309537,290.4994559018582,0.0,9.144064874190704,1.5477695608257076,100.0,225.24820363628768,0.0,75.08273454542923,2.252482036362877
0.0135,187.66395981377403,280.7562297235882,-0.0,5.921450094088712,1.496058326820947,187.94775933323595,281.4643173712448,-0.0,5.873679790512327,1.4975667620075306,202.90130659011052,291.8678560496827,0.0,-5.6120212402162934,1.438472038227419,100.0,221.8075780576985,0.0,73.93585935256617,2.218075780576985
0.015,199.25574800597957,280.5852416946476,-0.0,-5.727334107763696,1.408166361585852,199.61252209406837,281.14982489526875,-0.0,-5.8959137956454555,1.408477894802489,214.16879973022188,291.5361188920655,0.0,-16.990093432866715,1.3612445849222645,100.0,218.05468131634785,0.0,72.68489377211596,2.1805468131634784
