eps_axial,undrained_dense_p,undrained_dense_q,undrained_dense_eps_v,undrained_dense_eta,undrained_dense_hardening,undrained_dense_psi,undrained_loose_p,undrained_loose_q,undrained_loose_eps_v,undrained_loose_eta,undrained_loose_hardening,undrained_loose_psi,drained_dense_p,drained_dense_q,drained_dense_eps_v,drained_dense_eta,drained_dense_hardening,drained_dense_psi,drained_loose_p,drained_loose_q,drained_loose_eps_v,drained_loose_eta,drained_loose_hardening,drained_loose_psi
0.0,250.0,0.0,0.0,0.0,91.96986029286059,-0.12,250.0,0.0,0.0,0.0,91.96986029286059,0.1200000000000001,250.0,0.0,0.0,0.0,91.96986029286059,-0.12,250.0,0.0,0.0,0.0,91.96986029286059,0.1200000000000001
0.001,234.44901393751778,56.06043036291276,0.0,0.23911565854507386,104.61846321097394,-0.12488093114240562,224.86836661102333,36.46392405803339,0.0,0.1621567524484606,93.19230016527521,0.11194812496511264,260.4699102968494,31.40973089054877,0.0008245680114513716,0.12058871158957318,105.62755310933078,-0.1184689288618681,251.0563872673071,3.1691618019208505,0.0009269158781690593,0.012623306805361422,93.21803583561679,0.11831428672411137
0.002,218.82568123321272,96.93956557154179,0.0,0.44299903478069735,114.91699600800101,-0.13012209656413065,201.17067046263494,61.897931473859174,0.0,0.307688647313804,92.77607460832759,0.10348464798835488,270.09447209711965,60.28341629136007,0.0016164702063730715,0.22319381741986768,118.88618558431017,-0.11723414942671917,252.12125426424672,6.363762792739884,0.001849839796353861,0.025240881857862184,94.48317694855257,0.1166402707687868
0.003,204.51850680942937,125.44623368480492,0.0,0.613373506592711,122.94368084569413,-0.13526098609576243,179.82992720109758,79.3147879640447,0.0,0.44105444070691147,91.45019033391601,0.09496184844955158,279.095211907498,87.285635722495,0.002374790809083305,0.3127450131657025,131.86849996687926,-0.11619990978766925,253.22209091903105,9.666272757092917,0.0027671261701682007,0.03817310220451404,95.79844953139241,0.11498971001684
0.004,192.1926118170298,144.4792585162256,0.0,0.7517420006434585,128.87594250523188,-0.13998517752285144,160.9726722006601,90.18385391638348,0.0,0.5602432554760911,89.30370077139824,0.08654280080715693,287.55573594113554,112.66720782340775,0.003099874864888147,0.391809982348853,144.56397587701127,-0.11532250003994304,254.35983382699646,13.079501480989121,0.003678591053622781,0.051421253443203536,97.16578168479359,0.11336311715204084
0.005,182.0686468194723,157.12895464295468,0.0,0.8630203903187887,133.27160799009644,-0.1440978612395708,144.60721022474152,96.17239224249136,0.0,0.6650594537646144,86.57021315399452,0.07839457929343085,295.5195492096719,136.5586476290163,0.0037923567074891478,0.4620968324911987,156.93286837196007,-0.11457500180869806,255.53483055739002,16.604491672169722,0.004584060272157599,0.06497936753260161,98.58643898806837,0.11176080005351352
0.006,174.02006937235927,165.73904096336366,0.0,0.9524133714067411,136.6525992788241,-0.14753406158996973,130.5824945021292,98.74233474184496,0.0,0.7561682376977024,83.4859634824314,0.0706413630730982,303.04571154345405,159.13713463036254,0.004453198815678942,0.5251258426323043,168.9812364889056,-0.11393082855484915,256.74570811347496,20.237124340424018,0.005483363615374572,0.07882166556599159,100.0596137741493,0.11018254347583634
0.007,167.78787225117884,171.99535117775235,0.0,1.0250761802395045,139.48334623467855,-0.1503057905112547,118.65445569010265,99.05236109375387,0.0,0.8347968099272663,80.25415646443237,0.06336135093296824,310.18216240887136,180.54648722661503,0.005083499006911366,0.5820659893028436,180.71659721400567,-0.11336962895966751,257.9888105646379,23.96643169391305,0.006376367009899783,0.09289717504204847,101.5816541534899,0.10862738658925819
0.008,163.08395045140247,176.93955486706594,0.0,1.084959950855448,142.06792854054981,-0.152466882030858,108.54040401631684,97.94919347087763,0.0,0.902421493254742,77.02574889463422,0.056590279551534506,316.9757264056357,200.92717921690817,0.005684427178574898,0.6338882207017343,192.1595436526709,-0.11287384626541253,259.2600684418151,27.78020532544416,0.007262948548446965,0.10715188610574165,103.14828481226952,0.1070942399215209
0.009000000000000001,159.6529085439475,181.2279164285218,0.0,1.1351369547936259,144.61441341019682,-0.15408286732676346,99.96511170053408,96.03704002308737,0.0,0.9607055740685405,73.91311063873106,0.05033538464355902,323.4417811586879,220.3253434760652,0.00625694848838116,0.6811901130607755,203.2888235493513,-0.11243485606053782,260.55862637537655,31.67587912612835,0.008142994623889944,0.12156910545150848,104.75912510250657,0.10558295580134747
0.01,157.28181408993984,185.23827952335904,0.0,1.1777476028947163,147.23839389175265,-0.15522005128143934,92.67615392869064,93.69569665597422,0.0,1.0110011333451328,70.97302324286592,0.04458142146583466,329.6191954394683,238.85758631840645,0.006802282860180705,0.7246470764542309,214.13114702816495,-0.11204015195338357,261.8809556411563,35.6428669234675,0.00901640548761594,0.1361033177697248,106.41039941825794,0.10409258499614027
0.011,155.8009584336732,189.21513257222438,0.0,1.2144670640956043,150.02043203690576,-0.1559390040891625,86.45525821646258,91.1667183022966,0.0,1.054495934464017,68.23249930354287,0.039300624831598796,335.54013528753563,256.620405862608,0.007321585194324903,0.7647979447904237,224.70977611988042,-0.11167989169158588,263.2271375160663,39.68141254819741,0.009883082126253936,0.15074970203547275,108.1028009582056,0.10262323919912086
0.012,155.07692112036793,193.30961364234707,0.0,1.246540183063756,153.01054673659792,-0.15629301406493912,81.12148638497814,88.61150924988783,0.0,1.0923309371991077,65.70714147769147,0.03446100782752226,341.1942982217564,273.5828946652704,0.007815522092811196,0.8018389993359661,234.9774507526294,-0.11135372835775603,264.5941107981573,43.78233239446997,0.01074294692896803,0.16546979168356787,109.83300667885051,0.10117408073423362
0.013000000000000001,155.00403129210608,197.5626755727149,0.0,1.2745647576120571,156.19920836483504,-0.15632874426382337,76.52662136104284,86.12542817060874,0.0,1.1254309498949386,63.397900201406586,0.0300295093102938,346.6229365538778,289.86880966163517,0.008285402042665063,0.8362655182126962,244.98326647278506,-0.11105146946599798,265.9832653942224,47.94979618266457,0.011595906812718767,0.1802737330545838,111.60332871248713,0.09974559504335656
0.014,155.47075952974023,201.59659809726594,0.0,1.2966849760498034,159.26798164501164,-0.15610024666061328,72.54971207863943,83.76253624815581,0.0,1.1545536687638729,61.29744140392121,0.025973643057962237,351.8531916160159,305.5595748480488,0.00873229381147489,0.8684291691220802,254.75623169785393,-0.11076639606901628,267.39206701066183,52.176201031982025,0.012441893994874633,0.19512995136800967,113.41103374837608,0.09833708961454857
0.015,156.3536170879963,205.3798410816072,0.0,1.3135598965134192,162.16363699504655,-0.15566989317483915,69.09000318390328,81.53743822404545,0.0,1.180162606260267,59.384970074135694,0.02226013393486248,356.87457916537915,320.62373749613846,0.009156755597759048,0.8984213396369661,264.25849466586266,-0.1104994123549694,268.8165986883337,56.449796064997365,0.01328084870846043,0.2099937144523033,115.25148243072064,0.09694747928136627
0.016,157.55561976291804,209.00188890500257,0.0,1.3265276682577134,164.93859778160788,-0.15508786092441673,66.06745321012174,79.47413671082974,0.0,1.2029241759640592,57.65420062377262,0.018860364365158144,361.7126964096478,335.13808922894447,0.009559849913286329,0.9265311739275888,273.52157770572524,-0.11024488189738602,270.25460121467717,60.76380364402717,0.014112725678966008,0.22483910864392406,117.12207240370196,0.09557613800608977
0.017,159.00421175993736,212.5171549017969,0.0,1.3365504759248312,167.62713021994168,-0.15439229724718417,63.41624107236866,77.57071889512164,0.0,1.2231995713306363,56.08800433372089,0.015747690012308357,366.3707197991413,349.11215939742505,0.009942257129216595,0.9528931776775773,282.53711169445666,-0.1100015534702865,271.70813668197883,65.12441004593192,0.01493747589237077,0.23968516674256568,119.02586193138984,0.09422367047368052
0.018000000000000002,160.64375838102458,215.9446473927071,0.0,1.344245488084987,170.24043020555925,-0.15361264808556274,61.08182961001778,75.8197067913794,0.0,1.2412808731411105,54.669503340445225,0.012897267243516142,370.85582576320763,362.5674772896239,0.010304715010526736,0.977650752940104,291.30583094174494,-0.10976764468125233,273.17232472711555,69.5169741813423,0.015755068839766906,0.25448029646043396,120.9566886559774,0.09288869847444547
0.019,162.43119891409276,219.31252624228702,0.0,1.3501872036189173,172.79937455645043,-0.15277168617547676,59.020044996963584,74.21799770971435,0.0,1.2575049326636851,53.38774411042819,0.010287632268120461,375.1863343402329,375.55900302069966,0.010648135444583533,1.0009932895906832,299.8518275994979,-0.10953964668073857,274.65068323483786,73.95204970450932,0.016565461537766037,0.2692585681328061,122.91953463877739,0.0915722240948913
0.02,164.33344378950102,222.64058518064854,0.0,1.3548099525367134,175.31955034435325,-0.15188681538590287,57.19414641735731,72.762464275323,0.0,1.2722012449379088,52.23396597166053,0.007899288634376056,379.38291760006337,388.1487528001911,0.010973395279525596,1.0231055084282115,308.2058925307088,-0.10931378982166629,276.1379969842405,78.41399095271817,0.017368627853434803,0.2839666826336592,124.90764497993594,0.09027278940845185
0.021,166.32561225751107,225.94570692901678,0.0,1.3584540821001148,177.8148054173869,-0.1509710283673823,55.57158241972441,71.38366431957462,0.0,1.2845353904163421,51.1877611553752,0.00571203943332943,383.4343638144872,400.3030914434628,0.011280838989423277,1.0439937815201588,316.3371443242754,-0.10909187592361591,277.63301285545975,82.89903856637655,0.018164554352654055,0.298592151249445,126.91948555359959,0.08899002567976666
