eps_axial,mcc_p,mcc_q,mcc_eps_v,mcc_u,mcc_eta,evp_p,evp_q,evp_eps_v,evp_u,evp_eta,ns_unified_p,ns_unified_q,ns_unified_eps_v,ns_unified_u,ns_unified_eta,ns_d0_p,ns_d0_q,ns_d0_eps_v,ns_d0_u,ns_d0_eta
0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
0.003,136.76400778855682,110.29202336567052,0.0018000540021590693,0.0,0.8064404162254943,136.98679101469912,110.96037304409724,0.0017999999995579525,0.0,0.8100078279240137,137.69741474822723,113.09224424468168,0.0017999999999999995,0.0,0.8213098586597659,137.69741474822723,113.09224424468168,0.0017999999999999995,0.0,0.8213098586597659
0.006,186.93919619438967,260.8175885831691,0.003600108004317433,0.0,1.3952001179675375,187.5474718326514,262.6424154979543,0.0035999999989527794,0.0,1.400404990435222,189.60578028345313,268.8173408503593,0.003600000000000004,0.0,1.4177697560089573,189.60578028345313,268.8173408503593,0.003600000000000004,0.0,1.4177697560089573
0.009000000000000001,203.08928133271675,309.2678439981506,0.0033564347539465304,0.0,1.5228171667587116,203.37413347909248,310.1224004372775,0.0033306378450863065,0.0,1.5248861550486168,202.84901325050294,308.54703975150886,0.003093492624240642,0.0,1.5210674915656455,203.2679922944469,309.8039768833408,0.0039917504473151585,0.0,1.5241158895030045
0.012,200.00347235448032,300.01041706344114,0.002299991807886696,0.0,1.5000260422064644,200.2471565587738,300.7414696763222,0.0022664756628522557,0.0,1.5018513862794984,199.68793519369459,299.0638055810838,0.0019097103530135414,0.0,1.4976558563290063,200.60940478438016,301.82821435314077,0.003918062891249315,0.0,1.5045566516562523
0.015,197.21344488395525,291.6403346518658,0.0013228949482855528,0.0,1.478805538960457,197.41857415806115,292.2557224741849,0.0012825367247472261,0.0,1.4803861476590008,196.80428526570134,290.4128557971043,0.0008244354330999681,0.0,1.4756429485517757,197.95232582916003,293.85697748748004,0.0038434348987377216,0.0,1.4844835808652694
0.018000000000000002,194.6851586454722,284.05547593641666,0.00041882092057361775,0.0,1.459050489070359,194.85752275182037,284.5725682554621,0.0003725733668056624,0.0,1.4604135587718983,194.17660714090613,282.5298214227188,-0.0001701126826586234,0.0,1.4550147187281848,195.53494375289185,286.6048312586755,0.003774663708823466,0.0,1.4657473787440962
0.021,192.38941171782628,277.1682351534789,-0.00041797061825626263,0.0,1.4406626262779787,192.5341591177214,277.60247735316506,-0.000469239057024967,0.0,1.4418349378898019,191.78357576392227,275.35072729176727,-0.0010811881793090397,0.0,1.435736747502887,193.3640094476455,280.0920283429363,0.0037121750959110875,0.0,1.4485220343901328
0.024,190.3010088620244,270.9030265860732,-0.0011927061328217362,0.0,1.4235501335806813,190.4197607498001,271.2592822494012,-0.0012483247437056416,0.0,1.4245332584248926,189.59295335688955,268.77886007066917,-0.0019159288672416805,0.0,1.4176627100940833,191.4259713699258,274.2779141097769,0.0036557946264970265,0.0,1.4328145347620664
0.027,188.3980955548966,265.19428666468974,-0.0019101565556251389,0.0,1.4076272155703176,188.49226420304512,265.4767926091364,-0.001969507553351895,0.0,1.408422747382158,187.60345694641342,262.8103708392409,-0.002679983958254366,0.0,1.4008823457571433,189.70243029461935,269.10729088385756,0.0036051725741862144,0.0,1.4185758741515206
0.03,186.66162073110624,259.98486219331863,-0.002574686935620163,0.0,1.3928136977222412,186.73673329712696,260.2101998913819,-0.0026370274482605195,0.0,1.393460168746485,185.78774354005628,257.36323062016965,-0.003379604647288128,0.0,1.3852540846683006,188.17238724605843,264.51716173817465,0.0035598468725721475,0.0,1.4057172022390623
0.033,185.07490030862644,255.22470092587918,-0.0031902989656553103,0.0,1.379034652998719,185.13125122134883,255.39375366404727,-0.0032551377461017043,0.0,1.3795280482315238,184.1279565686768,252.3838697060312,-0.004020160775742718,0.0,1.3706982601085675,186.82167632463515,260.46502897390485,0.0035195263309112704,0.0,1.394190621228029
0.036000000000000004,183.62326023200035,250.8697806960009,-0.003760667645586229,0.0,1.3662200550139312,183.66303087376733,250.98909262130294,-0.003827472454252146,0.0,1.3665738359387591,182.6148231553942,247.8444694661834,-0.004606293269214778,0.0,1.357197981980262,185.6363076865234,256.9089230595696,0.0034839005764466372,0.0,1.3839368292834255
0.039,182.29374270333253,246.8812281099977,-0.004289173088254804,0.0,1.354304456361817,182.31807905097259,246.95423715291867,-0.0043574855688106266,0.0,1.354524128591082,181.23325958743618,243.6997787623094,-0.005142762119540965,0.0,1.3446746988774219,184.598338001425,253.7950140042743,0.003452517521950717,0.0,1.374849940427498
0.042,181.07486296266993,243.22458888800998,-0.004778928279527225,0.0,1.3432266903780716,181.08523044036986,243.25569132111022,-0.004848307458513628,0.0,1.3433215438363024,179.97317404046794,239.91952212140492,-0.005633588755386564,0.0,1.3330849077955236,183.68911423936459,251.06734271809313,0.0034248817756951993,0.0,1.3668057781090295
0.045,179.9564067645486,239.86922029364598,-0.005232803448764617,0.0,1.3329295944849917,179.95399241571636,239.8619772471497,-0.005302847085810302,0.0,1.3329072282710925,178.82154639369438,236.4646391810841,-0.006082675096437274,0.0,1.3223498171774133,182.89695714509392,248.69087143528105,0.003400692520704633,0.0,1.3597321427167985
0.048,178.92926081570704,236.78778244712103,-0.005653447583173832,0.0,1.3233597532770613,178.91629820569617,236.74889461708926,-0.005723739080578289,0.0,1.323238279527247,177.7693516468586,233.30805494057685,-0.006493488346789716,0.0,1.3124200137943163,182.20741090867497,246.62223272602418,0.0033795511404039282,0.0,1.3535247084413864
0.051000000000000004,177.98527006228335,233.95581018685013,-0.006043307521457789,0.0,1.3144672595939018,177.9618596843084,233.8855790529258,-0.006113536172317601,0.0,1.3142455325417597,176.8094665705722,230.42839971171753,-0.006869184753026877,0.0,1.303258271070818,181.6098163507293,244.82944905218733,0.0033611641679867363,0.0,1.3481069138871147
0.054,177.11711696780824,231.35135090342484,-0.00640464498365341,0.0,1.306205491959729,177.0845436679125,231.2536310037382,-0.006474476659169302,0.0,1.3058939318691147,175.93419372508984,227.80258117527055,-0.007212783928611674,0.0,1.294816978734838,181.09138360346358,243.27415081039013,0.0033451637919572424,0.0,1.343377834823375
