eps_axial,mcc_p,mcc_q,mcc_eps_v,mcc_u,mcc_eta,evp_p,evp_q,evp_eps_v,evp_u,evp_eta,ns_unified_p,ns_unified_q,ns_unified_eps_v,ns_unified_u,ns_unified_eta,ns_d0_p,ns_d0_q,ns_d0_eps_v,ns_d0_u,ns_d0_eta
0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
0.003,119.7423679894119,59.227103968235724,0.0022043547746459645,0.0,0.49462111834528627,119.96060856531544,59.88182569594624,0.0021893042093973523,0.0,0.4991790756324993,119.33923566367767,58.01770699103303,0.0017780720539993676,0.0,0.4861578563695411,119.6490751542857,58.947225462857205,0.0010088678122396298,0.0,0.4926676231040285
0.006,123.51485967322432,70.54457901967305,0.004533540239616114,0.0,0.5711424455835395,123.6915978073288,71.07479342198629,0.004501428991310297,0.0,0.5746129460846455,122.63075007478533,67.8922502243561,0.0034398101578250097,0.0,0.5536315335505376,123.11386908540199,69.34160725620615,0.0011686436281242664,0.0,0.5632314845706381
0.009000000000000001,126.81405346877423,80.4421604063227,0.006573859974146171,0.0,0.634331591854133,126.96089259368601,80.88267778105765,0.0065293447631569424,0.0,0.6370676523195781,125.6383296016116,76.91498880483495,0.004984809683984124,0.0,0.612193659759134,125.83700597853145,77.5110179355945,0.0012910938699178267,0.0,0.6159636216139658
0.012,129.76465874397886,89.29397623193675,0.008386403956099617,0.0,0.6881224602771904,129.88736306926228,89.66208920778652,0.008332470712653132,0.0,0.6903064862435795,128.40828571865848,85.22485715597551,0.0064225804681723505,0.0,0.6637021643813741,128.03723403075722,84.11170209227183,0.0013881105537581274,0.0,0.6569315772009449
0.015,132.43968201756059,97.31904605268171,0.01001173963095572,0.0,0.7348178776190196,132.5428451571499,97.62853547144957,0.009950479085457065,0.0,0.7365809550541633,130.96808737534403,92.90426212603195,0.007761501090141927,0.0,0.7093656476770237,129.88223240060267,89.64669720180837,0.0014681871779695784,0.0,0.6902152476507047
0.018000000000000002,134.8862678715417,104.65880361462504,0.011478883957014525,0.0,0.7759040654479102,134.97196008431433,104.91588025294314,0.011411847762810878,0.0,0.7773161194918133,133.33646045024798,100.0093813507437,0.009009091565326567,0.0,0.7500527688603248,131.45334903066723,94.3600470920018,0.0015354850902714087,0.0,0.7178215525721464
0.021,137.13713947427553,111.4114184228267,0.012809715992841345,0.0,0.8124087964057722,137.20764246674534,111.622927400236,0.012738118620291578,0.0,0.8135328717370081,135.53310989837746,106.5993296951322,0.010172263706832316,0.0,0.7865187316594464,132.80773325792964,98.42319977378898,0.0015928569532175554,0.0,0.7410953967766207
0.024,139.21633314439165,117.64899943317502,0.014021392122625223,0.0,0.8450804354339118,139.2723695992029,117.81710879760811,0.013946199416173541,0.0,0.8459474706767853,137.57440171656134,112.72320514968395,0.011257206530601907,0.0,0.8193617689279343,133.9885634158208,101.96569024746256,0.0016424016238530696,0.0,0.7610029367284259
0.027,141.1423381759119,123.42701452773558,0.015127775989407255,0.0,0.8744861118419553,141.18558944288634,123.55676832865858,0.015049802713131116,0.0,0.8751372488949438,139.46139969064416,118.38419907193236,0.012269391575560699,0.0,0.8488671369607244,135.0265778942092,105.07973368262779,0.0016855948169180559,0.0,0.7782151878643907
