state,mode,model,state_parameter,norsand_OCR_unified,q_peak_kpa,q_end_kpa,p_end_kpa,eps_v_end,u_end_kpa,q_rmse_vs_mcc_pct,eps_v_rmse_vs_mcc_pct,u_rmse_vs_mcc_pct
dense,drained,MCC,-0.05,,309.2678439981506,200.05715964893662,166.68571988297882,-0.01096673651159622,0.0,0.0,0.0,
dense,drained,EVP,-0.05,,310.1224004372775,199.93889109953724,166.6462970331823,-0.010698039453396866,0.0,0.15259811237357765,1.2666926103444531,
dense,drained,NS unified,-0.05,7.433288585731399,308.54703975150886,200.0719527329268,166.69065091097502,-0.010977178079476837,0.0,0.6220732139527396,3.565582352999307,
dense,drained,NS D=0,-0.05,7.433288585731399,309.8039768833408,233.68921317956318,177.89640439318808,0.003245534673220201,0.0,8.838036137538289,113.97455067602557,
dense,undrained,MCC,-0.05,,280.7562297235882,276.11946907394565,230.0995575616207,-0.0,-38.059734536972144,0.0,,0.0
dense,undrained,EVP,-0.05,,281.4643173712448,273.10459925358333,227.59325577781496,-0.0,-36.55838935995385,0.8714465041456775,,1.4907980164880177
dense,undrained,NS unified,-0.05,7.433288585731399,291.8678560496827,277.5677952712721,231.4585228053977,0.0,-38.93592438164035,2.0122345959609693,,5.479064087468774
dense,undrained,NS D=0,-0.05,7.433288585731399,238.8113594442683,146.7965855807875,100.0,0.0,48.93219519359584,41.13028251648927,,108.05990122731623
loose,drained,MCC,0.02,,199.92109442566112,199.92109442566112,166.64036480855387,0.028216910895190257,0.0,0.0,0.0,
loose,drained,EVP,0.02,,199.6969753205455,199.6969753205455,166.56565844018084,0.028402455317035204,0.0,0.1490707191993795,0.3321236956919335,
loose,drained,NS unified,0.02,1.7139196248861874,199.085093014915,199.085093014915,166.36169767163844,0.027971362698375427,0.0,1.9952586632913827,6.141398687690268,
loose,drained,NS D=0,0.02,1.7139196248861874,137.903270826142,137.903270826142,145.96775694204717,0.0021216813235098143,0.0,26.929535526544147,83.11631923016185,
loose,undrained,MCC,0.02,,85.9835018782283,85.9835018782283,71.65291823185724,-0.0,57.00824906088552,0.0,,0.0
loose,undrained,EVP,0.02,,85.6654500367065,85.09069264636962,70.91350864481255,-0.0,57.45005557064398,0.8095356897866823,,0.5811253636930701
loose,undrained,NS unified,0.02,1.7139196248861874,85.73000993935571,85.73000993935571,71.43460127019978,0.0,57.14206870958546,1.600855304560941,,1.0223032184997394
loose,undrained,NS D=0,0.02,1.7139196248861874,106.81627376510299,106.81627376510299,100.0,0.0,35.60542458836767,20.860122372476408,,38.78950293475014
