eps_axial,mcc_p,mcc_q,mcc_eps_v,mcc_V,mcc_eta,evp_p,evp_q,evp_eps_v,evp_V,evp_eta,norsand_p,norsand_q,norsand_eps_v,norsand_V,norsand_eta
0.0,100.0,0.0,0.0,1.75,0.0,100.0,0.0,0.0,1.75,0.0,100.0,0.0,0.0,1.75,0.0
0.003,136.87512783760675,110.62538351282046,0.0018000270005384378,1.7468527861337988,0.8082212251452296,136.98679101469912,110.96037304409724,0.0017999999995579525,1.7468528333005373,0.8100078279240137,137.69741474822723,113.09224424468168,0.0017999999999999995,1.7468527389659414,0.8213098586597659
0.006,187.2425502182727,261.7276506548182,0.0036000540010769242,1.7437112322419515,1.3978000745541899,187.5474718326514,262.6424154979543,0.0035999999989527794,1.7437113264060644,1.400404990435222,189.60578028345313,268.8173408503593,0.003600000000000004,1.7437111380758925,1.4177697560089573
0.009000000000000001,203.0699152948571,309.20974588457125,0.0033391029411134017,1.7441663149108453,1.5226762932145774,203.37413347909248,310.1224004372775,0.0033306378450863065,1.74418107950868,1.5248861550486168,203.43016775858507,310.2905032757551,0.0031025705526929095,1.7445787043077874,1.5252924710949631
0.012,199.9859479305787,299.95784379173585,0.0022831526976363294,1.7460090404977813,1.4998946020740442,200.2471565587738,300.7414696763222,0.0022664756628522557,1.7460381589940874,1.5018513862794984,200.9233652432245,302.7700957296738,0.0019045038181393272,1.746670078571381,1.5068934136314132
0.015,197.1975495169686,291.5926485509054,0.0013065099333412543,1.747715100563579,1.4786829210867765,197.41857415806115,292.2557224741849,0.0012825367247472261,1.7477569994044704,1.4803861476590008,198.5565165442917,295.66954963287515,0.0007785841603590728,1.7486377962861193,1.4890951693691734
0.018000000000000002,194.67071031253235,284.0121309375969,0.00040285493928823927,1.7492951458427677,1.4589361208043685,194.85752275182037,284.5725682554621,0.0003725733668056624,1.7493481180525567,1.4604135587718983,196.34049857022447,289.02149571067355,-0.0002777178124129142,1.7504858617252685,1.4720421808814963
0.021,192.3762536156648,277.1287608469942,-0.00043354950689399106,1.7507588761303639,1.440555971116116,192.5341591177214,277.60247735316506,-0.000469239057024967,1.7508213610420633,1.4418349378898019,194.24986174548175,282.7495852364451,-0.0012684776554540418,1.7522210322492149,1.455597356393083
0.024,190.28900516367662,270.8670154910292,-0.001207927107349138,1.75211514965398,1.4234506889036682,190.4197607498001,271.2592822494012,-0.0012483247437056416,1.7521859323943685,1.4245332584248926,192.28980033715678,276.8694010114702,-0.002196320366791657,1.7538475722322797,1.4398548468302186
0.027,188.38712799588663,265.16138398765924,-0.001925046335999131,1.7533720757476758,1.4075345104971766,188.49226420304512,265.4767926091364,-0.001969507553351895,1.7534500345376942,1.408422747382158,190.44655710228392,271.33967130685176,-0.0030646996520905323,1.7553712385977336,1.4247549309128347
0.03,186.65158584324453,259.9547575297334,-0.0025892700427855163,1.7545370939207163,1.3927272910933155,186.73673329712696,260.2101998913819,-0.0026370274482605195,1.754620888061011,1.393460168746485,188.71434559546975,266.1430367864093,-0.003876648589807441,1.7567970891906044,1.4102957353168932
0.033,185.06570716336756,255.19712149010272,-0.003204597944691708,1.7556170417764843,1.3789541314903162,185.13125122134883,255.39375366404727,-0.0032551377461017043,1.7557057725553267,1.3795280482315238,187.0853065173674,261.25591955210217,-0.0046349454303304585,1.7581297680918446,1.3964534383562046
0.036000000000000004,183.6148285876702,250.84448576301043,-0.0037747032587725137,1.7566182137411037,1.3661450313814945,183.66303087376733,250.98909262130294,-0.003827472454252146,1.7567109115167796,1.3665738359387591,185.5607498398201,256.68224951946013,-0.005342295071107558,1.7593738204897407,1.3832787900514176
0.039,182.28600147465693,246.85800442397095,-0.004302964483143661,1.7575464121734823,1.3542345678052048,182.31807905097259,246.95423715291867,-0.0043574855688106266,1.7576422381242278,1.354524128591082,184.13308416198976,252.39925248596893,-0.006001497649102573,1.7605339865979757,1.3707436316220203
0.042,181.06774894917936,243.2032468475383,-0.0047924931361420136,1.7584069921233019,1.343161597020785,181.08523044036986,243.25569132111022,-0.004848307458513628,1.7585051391570001,1.3433215438363024,182.78859829685842,248.36579489057473,-0.00661548509424497,1.7616152642738911,1.3587597760732069
0.045,179.94986358818866,239.84959076456607,-0.005246158109257702,1.7592049007620254,1.332868977958531,179.95399241571636,239.8619772471497,-0.005302847085810302,1.759304631114175,1.3329072282710925,181.5272482743222,244.5817448229661,-0.007186314681068001,1.7626211334498894,1.3473555466083889
0.048,178.9232380285,236.76971408550008,-0.0056666071666731585,1.759944712319989,1.3233033154015799,178.91629820569617,236.74889461708926,-0.005723739080578289,1.7600452642021045,1.323238279527247,180.34714935840032,241.0414480752005,-0.007716458635108823,1.7635558241254043,1.3365414919654959
0.051000000000000004,177.9797223929816,233.9391671789447,-0.0060562860263211294,1.7606306592093501,1.3144147211467376,177.9618596843084,233.8855790529258,-0.006113536172317601,1.7607314584569942,1.3142455325417597,179.24022175453698,237.72066526361039,-0.008208278228176656,1.7644233887582779,1.326268529109277
0.054,177.11200368275217,231.33601104825618,-0.006417455378966804,1.7612666598898485,1.3061565915240365,177.0845436679125,231.2536310037382,-0.006474476659169302,1.761367092432942,1.3058939318691147,178.2016217721072,234.60486531632108,-0.008663869318238215,1.7652274274757804,1.3165136376611941
