state,model,initial_state_parameter,mcc_pc,norsand_OCR,q_peak_kpa,q_end_kpa,p_end_kpa,eps_v_end,q_curve_rmse_vs_mcc_pct,eps_v_curve_rmse_vs_mcc_pct,q_fe_vs_material_rmse_pct,eps_v_fe_vs_material_rmse_pct,max_radial_stress_error_kpa,max_newton_iterations,max_residual_norm
dense,MCC,-0.05,543.6563656918092,7.458538370865458,314.43322820423106,200.0777271490202,166.7032053477922,-0.010887986100988845,0.0,0.0,0.15210891607931235,0.7732870081934337,0.010737624697100046,10,9.608839832684052e-06
dense,EVP,-0.05,543.6563656918092,7.458538370865458,314.8657893769661,200.06152613912582,167.3032905660662,-0.010822080562787162,0.7202481989836124,3.3286748552006347,0.5771432044130553,3.360840013589855,2.3337710465225427,8,0.0009953714564420616
dense,NorSand,-0.05,543.6563656918092,7.458538370865458,314.38903234573246,199.389863370574,167.12843020572691,-0.011371044579544298,0.8927226779451958,15.178992779805252,0.6058940034246657,2.9152768727805465,1.4250188180871532,15,0.000998745060258746
loose,MCC,0.02,134.06400920712787,1.7182643505123298,199.93584017083094,199.93584017083094,166.65238419191647,0.02831313246646172,0.0,0.0,0.019542713593366658,0.340397259605366,0.007127764251549706,10,9.846265657914909e-06
loose,EVP,0.02,134.06400920712787,1.7182643505123298,198.74379662053002,198.74379662053002,166.15455712378218,0.028182381475427565,0.8799596404568031,1.0627864651749344,0.7415100489558825,0.9219767215917859,1.7024084235409873,8,0.0009989073252826312
loose,NorSand,0.02,134.06400920712787,1.7182643505123298,195.51785451906557,195.51785451906557,163.20237657619097,0.02737879837999213,2.8488883658335293,8.03254829869607,0.8125823875483289,0.8431282387798665,2.2968320097891137,14,0.0009769344272009372
