eps_axial,mcc_fe_q,mcc_fe_p_effective,mcc_fe_pore_pressure,mcc_fe_eps_v,mcc_fe_radial_total_stress,mcc_material_q,mcc_material_p_effective,mcc_material_pore_pressure,evp_fe_q,evp_fe_p_effective,evp_fe_pore_pressure,evp_fe_eps_v,evp_fe_radial_total_stress,evp_material_q,evp_material_p_effective,evp_material_pore_pressure,norsand_fe_q,norsand_fe_p_effective,norsand_fe_pore_pressure,norsand_fe_eps_v,norsand_fe_radial_total_stress,norsand_material_q,norsand_material_p_effective,norsand_material_pore_pressure
0.0,0.0,99.99999999999999,0.0,0.0,99.99999999999999,0.0,100.0,0.0,0.0,99.99999999999999,0.0,0.0,99.99999999999999,0.0,100.0,0.0,0.0,99.99999999999999,0.0,0.0,99.99999999999999,0.0,100.0,0.0
0.0015,61.386202036304866,100.08165454820308,20.38044832341198,4.484874991803967e-06,100.0000355261801,61.42499999999998,100.0,20.474999999999994,61.388690070332586,100.08166117541559,20.38127553745616,4.485057026640824e-06,100.00004002276088,61.424999999999855,99.99999999999994,20.47500000000001,60.262329133036104,100.07869588904522,20.008666891661836,4.403061617573286e-06,99.99991973636169,60.30000000000007,99.99999999999996,20.100000000000065
0.003,77.95683916085767,90.05792064167191,35.92774686664542,7.906178062284334e-06,100.00005445469812,77.98918520360976,89.95783839960008,36.03855666826985,78.12657236157528,90.47352136032505,35.568733643445476,7.827174430916507e-06,100.00006421657878,78.15743144756286,90.37418616983378,35.67829097935385,75.35362097872493,91.32659960979856,33.74483772017974,7.425812052419805e-06,99.95356367040333,75.44367340352765,91.35096327446131,33.796927860047916
0.0045000000000000005,81.88029131940986,83.11751060155053,44.175979842617345,9.721265405483043e-06,100.0000600043646,81.88793310441443,83.0270525384676,44.26892516300387,81.96222772722867,83.58723572558286,43.733581157859675,9.623912159558226e-06,100.00007430769965,81.97058824864745,83.49709879122359,43.82643062499223,81.542300458211,84.94902749470124,42.20079419795729,9.28661055582796e-06,99.96905487325486,81.78173415243555,85.1446529250781,42.11592512573374
0.006,83.68818511531245,78.98027083297116,48.91585264010601,1.0764311006659574e-05,100.00006176797302,83.68086381781058,78.90332527964375,48.99029599295977,83.73406501457906,79.40632373344813,48.505110075503055,1.0673923934362284e-05,100.00007880409152,83.72564153193893,79.32884944019008,48.5796977371229,84.68983394614067,80.91834124338021,47.31340604735936,1.04116802629459e-05,100.00180264202602,85.00776815261592,81.18664611920302,47.14927659833562
0.0075,84.62328235067652,76.4157080795218,51.79211509030382,1.1397254763740282e-05,100.00006238626679,84.6070256139177,76.35073724318003,51.85160462812587,84.63434602279379,76.770389005251,51.441140691095974,1.132002013765239e-05,100.00008102208238,84.61647927289528,76.7044449301126,51.50104816085249,86.26137357805986,78.32401515219767,50.367824030693505,1.1083828520464314e-05,99.93804799020457,86.50826490061083,78.68688953587504,50.149198764328574
0.009000000000000001,85.1468687768677,74.78342967558439,53.59892253497524,1.1794856690595934e-05,100.00006261827039,85.12510816227751,74.7280243299127,53.647011724179805,85.11925778535965,75.06198512685704,53.311182937445174,1.1731537370794631e-05,100.000082135849,85.0969542748523,75.0053861500976,53.36026527485316,87.05474726471839,76.68799649720297,52.2907215339454,1.1506976960933696e-05,99.96046894290892,87.30875833097066,77.11383559253849,51.989083851118394
0.0105,85.4567759505503,73.72624084991354,54.75941384246263,1.2050231761866204e-05,100.00006270885939,85.431502832521,73.67818887484505,54.79897873599529,85.3863789747601,73.93139631885127,54.530812774940124,1.199992633214679e-05,100.00008276887135,85.3602185049058,73.88198004666738,54.57142612163456,87.48948503918214,75.59369248499532,53.5123836990927,1.1775813151673059e-05,99.94291450436064,87.74372542062044,76.11199248100797,53.135915992532176
0.012,85.64748755185343,73.03359563269593,55.51562962937473,1.2216642883805875e-05,100.00006274478619,85.61990284555438,72.99109132953888,55.54887628564592,85.53051388025176,73.1702808166517,55.33997370883478,1.217798844241856e-05,100.00008323206923,85.50218238785341,73.12631553537396,55.37441192724384,87.723945492327,74.90337568512747,54.258733084579234,1.1940053095810949e-05,99.92079360559771,87.97821036470275,75.46415551138153,53.86191461018605
0.0135,85.76807311396587,72.57631832264845,56.01310214091448,1.2326115550487585e-05,100.00006275890763,85.73893026058698,72.53795105540645,56.04169236478921,85.60644561511084,72.64984732217214,55.885718173269986,1.2298083724994816e-05,100.0000836237385,85.57505720838027,72.60994172043394,55.91507734902615,87.84666324010868,74.48004340686545,54.70672942280432,1.2038638148591935e-05,99.90455174963355,88.09821074526964,75.03711714692515,54.32895310149806
