state,model,initial_state_parameter,q_peak_kpa,q_end_kpa,p_effective_end_kpa,pore_pressure_min_kpa,pore_pressure_max_kpa,pore_pressure_end_kpa,q_fe_vs_material_rmse_pct,u_fe_vs_material_rmse_pct,q_curve_rmse_vs_mcc_pct,u_curve_rmse_vs_mcc_pct,max_abs_volumetric_strain,max_cell_pressure_error_kpa,max_mass_residual_norm,max_momentum_residual_norm,max_newton_iterations
dense,MCC,-0.05,280.51869627746544,275.7832658389585,229.81938818119318,-37.89138066588117,78.49835946432023,-37.89138066588117,0.023104616082351502,0.08070732244632756,0.0,0.0,1.6537893913116768e-05,0.00025223568511023586,8.127440989894502e-16,2.788624239258297e-07,2
dense,EVP,-0.05,281.4715215844834,273.6438609666978,228.0856923096776,-37.11636809820378,78.50118912654486,-36.87162322675927,0.08485353268656023,0.12507054783160745,0.6780679655761663,1.1422813666635157,1.6538490061290996e-05,0.0041749741454708555,1.706741896640453e-14,9.885361317859192e-06,4
dense,NorSand,-0.05,285.72683075503505,276.1393861838839,229.8927612191695,-38.9828715288814,78.20432172974041,-37.695709499080195,0.49771609439403885,0.9020903052640967,0.5409504468822001,4.196604446418691,1.6475946569323094e-05,0.9840662802735949,2.585839530435132e-16,0.0009768666500620737,11
loose,MCC,0.02,85.996194579112,85.996194579112,71.66349547720019,0.0,57.00196548171187,57.00196548171187,0.0370445727522354,0.04618924261543728,0.0,0.0,1.2543722562846638e-05,6.27664631309699e-05,2.905207464266969e-16,3.552618011326557e-07,2
loose,EVP,0.02,85.73655375882913,85.1820739213631,70.99985233692104,0.0,57.43782357268084,57.396059009112555,0.13710324414801053,0.09359516832748545,0.7461193845582066,0.5538927159816543,1.2639636500583196e-05,0.001953934004347957,8.581969135136906e-15,8.254191295220406e-06,3
loose,NorSand,0.02,87.9172133115351,86.38536528911808,72.0917327174673,0.0,56.55402262782111,56.55402262782111,0.13650095703522971,0.5516121457857633,1.3207638724783295,1.5067839343484266,1.2445149279616263e-05,0.30218146272446234,2.586393698705049e-16,0.0009728675454743407,11
