eps_axial,mcc_fe_q,mcc_fe_p_effective,mcc_fe_pore_pressure,mcc_fe_eps_v,mcc_fe_radial_total_stress,mcc_material_q,mcc_material_p_effective,mcc_material_pore_pressure,evp_fe_q,evp_fe_p_effective,evp_fe_pore_pressure,evp_fe_eps_v,evp_fe_radial_total_stress,evp_material_q,evp_material_p_effective,evp_material_pore_pressure,norsand_fe_q,norsand_fe_p_effective,norsand_fe_pore_pressure,norsand_fe_eps_v,norsand_fe_radial_total_stress,norsand_material_q,norsand_material_p_effective,norsand_material_pore_pressure
0.0,0.0,99.99999999999999,0.0,0.0,99.99999999999999,0.0,100.0,0.0,0.0,99.99999999999999,0.0,0.0,99.99999999999999,0.0,100.0,0.0,0.0,99.99999999999999,0.0,0.0,99.99999999999999,0.0,100.0,0.0
0.0015,59.0273791240261,100.07229898824693,19.603521939337483,4.13003492517037e-06,100.00002788624238,59.0625,100.0,19.6875,59.029494466094285,100.07230417949536,19.604226324882237,4.130183323856288e-06,100.00003234901283,59.0625,100.0,19.6875,60.26392845731558,100.07535510057573,20.01254283989867,4.216206716630604e-06,99.99992178803589,60.30000000000007,99.99999999999996,20.100000000000065
0.003,118.09716523849775,100.14470175365886,39.22107582497683,8.263026075679917e-06,100.00005583246977,118.125,100.0,39.375,118.1014019982159,100.14471215477887,39.2224866122427,8.263323297816576e-06,100.00006476761627,118.125,100.0,39.375,120.57324176343931,100.15082358351542,40.04010048567239,8.43557672569736e-06,99.9998434813747,120.6000000000002,99.99999999999999,40.20000000000008
0.0045000000000000005,177.20941900120192,100.21720851905597,58.85268165354578,1.2398977664383748e-05,100.0000838388678,177.1875,100.0,59.0625,177.21578327153455,100.21722414874012,58.854800864446354,1.2399424135944859e-05,100.00009725600829,177.1875,100.0,59.0625,180.92800816553418,100.2264057045032,60.08269543053033,1.2658114766027871e-05,99.99976507985546,180.90000000000026,100.00000000000004,60.30000000000005
0.006,236.36420119983276,100.28981950789552,78.49835946432023,1.6537893913116768e-05,100.00011190560483,236.25,100.0,78.75,236.3726990911854,100.28984038490586,78.50118912654486,1.6538490061290996e-05,100.00012981438891,236.25,100.0,78.75,239.08044425655368,101.48635881738916,78.20432172974041,1.6475946569323094e-05,99.99719912827835,238.8152741147196,101.27540664172697,78.32968472984624
0.0075,261.7525138361265,114.96630153810634,72.2846493506067,1.5228800584688763e-05,100.00011294333751,261.5284188569808,114.71296019875888,72.46317942023472,262.50050648744934,114.72845576165629,72.77186257588444,1.5331445795208412e-05,100.00014950839096,262.2747796824991,114.47063018273046,72.95429637810258,259.2540379326706,123.21990750324629,63.13859820118362,1.3301926893757345e-05,99.94049306020638,258.6242145655351,123.2415799167639,62.966491605081146
0.009000000000000001,270.9666409151493,135.80565496576892,54.51668524107965,1.148547769869862e-05,100.00012656846546,270.8139773829206,135.59261195419052,54.678713840116345,271.86085045095456,135.60855367567723,55.012457292780034,1.1589926067452974e-05,100.00072748480574,271.7011984066735,135.3934542772371,55.17361185832071,274.38715465700153,146.6687285878756,44.78979663736262,9.436234212199801e-06,99.99614033957103,273.2425824537718,146.72057807801073,44.36028273991319
0.0105,276.741092490241,155.69132631526682,36.55585399621226,7.701521909734763e-06,100.00014948139878,276.654110651478,155.55086772747282,36.66716915635318,277.7184932576412,155.54111957302544,37.0322358669099,7.801885189850227e-06,100.00052435405493,277.6308460120347,155.39766175525867,37.14595358208622,282.8519599020474,168.93058940381874,25.272494216057062,5.324363860812267e-06,99.91909698586,281.08730865903783,169.05503745558636,24.640732097426252
0.012,279.62680715471987,173.315868408422,19.89324446313782,4.191073148076749e-06,100.00017715331984,279.587630186622,173.26214684861225,19.93372988026175,280.62393770212094,173.2189816650106,20.323314497378856,4.2816795333550095e-06,100.00098359501585,280.58361249304176,173.16302080601554,20.364850024998375,285.72683075503505,187.63770740659743,7.3722599458220515,1.5531745340378877e-06,99.76769043407448,283.31919185179885,187.6999717051572,6.739758912109082
0.0135,280.51869627746544,187.96061470575918,5.545820322092662,1.1683835021997907e-06,100.00020293536339,280.5080507564717,187.9870607339991,5.515622851491457,281.4715215844834,187.92357741992637,5.900476394700275,1.24310180897938e-06,100.00021328646552,281.46045082879397,187.94829675297171,5.871853523292941,285.3850216649853,201.90611803261285,-6.995464054938033,-1.4737918499589664e-06,99.78231342267969,282.4703060797167,201.66686528505727,-7.5100965918183675
0.015,280.2857231963945,199.50441414675197,-6.075617105284091,-1.2800001405119388e-06,100.00022264266974,280.29013818648116,199.59093877281012,-6.160892710649733,281.14246158100707,199.52747603989667,-5.8129526068472455,-1.224662453972944e-06,100.00036957271374,281.14745087369937,199.61281966140749,-5.897002703507695,283.8616654453543,212.27122069210327,-17.674231242843046,-3.723575413363406e-06,99.97643430080878,280.6169379385678,211.3978332210194,-17.858853908163468
0.0165,279.5669283153794,208.23928541295467,-15.050073648956593,-3.1707225869419264e-06,100.00023565887159,279.5797766564207,208.36216870436144,-15.168909818887883,280.27870369701895,208.31408168501767,-14.888706727388197,-3.1367260926416785e-06,99.99914039195649,280.2903122632881,208.4365243350477,-15.006420247284993,282.1731705404861,219.13109084672635,-24.974630751925776,-5.261610519169402e-06,100.09873658130522,278.81388118176625,217.89778204000558,-24.959821646083498
0.018000000000000002,278.742334597851,214.650313356618,-21.73595842203217,-4.579292827728426e-06,100.00024340196882,278.76146792313693,214.78914287479304,-21.868653567080727,279.2853163322523,214.7585707399122,-21.66428798352117,-4.564193427990942e-06,99.9991773123069,279.30134619321944,214.89739448817068,-21.796945757097532,280.7490744607851,223.38386331737675,-29.89504538206801,-6.298234669237235e-06,99.90579311504705,277.406666104546,222.14281316313028,-29.673924461614945
0.0195,277.9947965338511,219.2530229001259,-26.58784303774019,-5.601479196981618e-06,100.00024768443537,278.0199368382546,219.3934227403347,-26.7201104609165,278.35805935092833,219.3706518845381,-26.585433474682404,-5.600971554553524e-06,99.99919862621292,278.3795237087236,219.51103485905708,-26.717860289482545,279.689365681775,226.21215881269163,-33.01535410489212,-6.955615727728681e-06,99.96701614720783,276.4168616737504,224.88496435928582,-32.74601046803568
0.021,277.3877140856664,222.50611118925335,-30.0432898884403,-6.329466556591334e-06,100.00024993892426,277.4188948670611,222.63958065347614,-30.166615697789098,277.55693145543313,222.60695091006497,-30.088759531340028,-6.3390460195954235e-06,99.99921422691389,277.5830583598913,222.74001184936864,-30.21232572940488,278.9568075802482,228.16684655876267,-35.43321550388309,-7.465006440936228e-06,99.74802852813018,275.76207032482404,226.6494816839074,-34.72879157563273
0.0225,276.92443794099256,224.7802316717369,-32.47183460300095,-6.841108011593211e-06,100.0002510884051,276.96142374842117,224.902753975329,-32.58227939252197,276.8843476443159,224.83831476904302,-32.54430635438457,-6.856376230501143e-06,99.99922586655316,276.9181838072693,224.95959413836826,-32.65353286927848,278.46749032374413,229.52456901148108,-36.89415596807336,-7.772794763834245e-06,99.80791626882635,275.34793053435175,227.78631556696712,-36.00367205551652
